Cherry Tart,Pecan Tart,Hot Coffee,,,,,
Cherry Tart,Apricot Danish,Bottled Water,,,,,
Hot Coffee,Vanilla Frappuccino,,,,,,
Tuile Cookie,,,,,,,
Chocolate Tart,Walnut Cookie,Hot Coffee,Vanilla Frappuccino,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Apple Tart,Almond Croissant,Apricot Danish,,,,,
Apple Tart,Berry Tart,Lemon Tart,Raspberry Cookie,Bottled Water,,,
Lemon Cake,,,,,,,
Cherry Tart,Gongolais Cookie,,,,,,
Cheese Croissant,Blueberry Danish,Orange Juice,,,,,
Cheese Croissant,Orange Juice,,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Chocolate Cake,Coffee Eclair,Marzipan Cookie,,,,,
Blackberry Tart,Marzipan Cookie,,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Chocolate Cake,Casino Cake,Chocolate Meringue,Chocolate Coffee,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Chocolate Eclair,Apple Tart,Pecan Tart,Apple Croissant,Apple Danish,,,
Opera Cake,Strawberry Cake,Blueberry Tart,Lemon Tart,Apricot Croissant,Chocolate Croissant,,
Gongolais Cookie,Vanilla Meringue,,,,,,
Casino Cake,Strawberry Cake,Chocolate Tart,Chocolate Croissant,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Lemon Cake,Lemon Tart,,,,,,
Napoleon Cake,Apple Tart,Vanilla Meringue,Apricot Croissant,,,,
Walnut Cookie,Chocolate Croissant,Almond Bear Claw,,,,,
Lemon Cake,Cherry Tart,,,,,,
Apple Tart,Blueberry Tart,Apricot Croissant,Hot Coffee,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Lemon Cake,Chocolate Tart,Lemon Tart,Vanilla Meringue,Cherry Soda,,,
Strawberry Cake,Napoleon Cake,Berry Tart,,,,,
Lemon Cake,Lemon Tart,Pecan Tart,Marzipan Cookie,,,,
Blackberry Tart,Gongolais Cookie,Chocolate Meringue,Almond Bear Claw,Single Espresso,,,
Berry Tart,Blueberry Tart,Apricot Croissant,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,Single Espresso,,,,
Chocolate Eclair,,,,,,,
Chocolate Cake,Casino Cake,Hot Coffee,Chocolate Coffee,,,,
Apricot Tart,Vanilla Meringue,Cherry Soda,,,,,
Lemon Cake,Lemon Tart,Cheese Croissant,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Chocolate Cake,Strawberry Cake,Berry Tart,Cheese Croissant,Orange Juice,Hot Coffee,Vanilla Frappuccino,
Casino Cake,Apricot Tart,Raspberry Cookie,,,,,
Coffee Eclair,Vanilla Eclair,Almond Tart,Pecan Tart,Gongolais Cookie,Vanilla Meringue,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Vanilla Eclair,Blueberry Tart,Vanilla Meringue,Walnut Cookie,Apricot Croissant,Hot Coffee,,
Lemon Cake,Chocolate Eclair,Ganache Cookie,,,,,
Hot Coffee,,,,,,,
Raspberry Cookie,Green Tea,Vanilla Frappuccino,,,,,
Chocolate Eclair,Apple Pie,Blackberry Tart,Cherry Tart,,,,
Coffee Eclair,Apple Pie,Almond Twist,,,,,
Cheese Croissant,Orange Juice,Vanilla Frappuccino,,,,,
Almond Croissant,Cheese Croissant,Orange Juice,,,,,
Vanilla Meringue,Cheese Croissant,Orange Juice,,,,,
Vanilla Eclair,Berry Tart,Almond Croissant,,,,,
Pecan Tart,Vanilla Meringue,Hot Coffee,,,,,
Lemon Tart,Marzipan Cookie,Tuile Cookie,Almond Bear Claw,,,,
Blackberry Tart,Cheese Croissant,Orange Juice,,,,,
Blueberry Tart,Gongolais Cookie,,,,,,
Apple Pie,Berry Tart,Bottled Water,,,,,
Coffee Eclair,Apple Pie,Chocolate Tart,Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea
Opera Cake,Strawberry Cake,Apricot Tart,Lemon Lemonade,,,,
Apricot Tart,Gongolais Cookie,Lemon Cookie,Walnut Cookie,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Lemon Cake,Almond Tart,Bottled Water,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Opera Cake,Strawberry Cake,Blueberry Tart,Cherry Tart,Apricot Danish,Apple Danish,Blueberry Danish,
Opera Cake,Chocolate Meringue,,,,,,
Cherry Tart,Marzipan Cookie,Almond Twist,,,,,
Apple Tart,Berry Tart,Almond Twist,Bottled Water,,,,
Chocolate Cake,Chocolate Croissant,Chocolate Coffee,,,,,
Almond Bear Claw,,,,,,,
Pecan Tart,Gongolais Cookie,Walnut Cookie,Raspberry Lemonade,,,,
Vanilla Eclair,Gongolais Cookie,Green Tea,,,,,
Apple Pie,Marzipan Cookie,,,,,,
Lemon Cake,Lemon Cookie,Chocolate Meringue,Marzipan Cookie,Tuile Cookie,,,
Opera Cake,Truffle Cake,Coffee Eclair,Berry Tart,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Apple Tart,Apple Croissant,Chocolate Croissant,Apple Danish,Cherry Soda,,,
Casino Cake,Truffle Cake,Ganache Cookie,,,,,
Opera Cake,Strawberry Cake,Blackberry Tart,,,,,
Casino Cake,Apple Pie,Chocolate Meringue,Walnut Cookie,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Vanilla Eclair,Raspberry Cookie,Apple Croissant,Single Espresso,,,,
Casino Cake,Napoleon Cake,Blueberry Tart,Vanilla Meringue,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Chocolate Cake,Casino Cake,Vanilla Eclair,Gongolais Cookie,Almond Bear Claw,Chocolate Coffee,,
Apricot Tart,Single Espresso,,,,,,
Apple Pie,Apple Danish,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,,,,,
Napoleon Cake,Apple Pie,Gongolais Cookie,Lemon Cookie,Raspberry Lemonade,,,
Napoleon Cake,,,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Strawberry Cake,Chocolate Eclair,Vanilla Eclair,Cherry Soda,,,,
Strawberry Cake,Napoleon Cake,Berry Tart,,,,,
Opera Cake,Truffle Cake,Gongolais Cookie,,,,,
Casino Cake,Truffle Cake,Gongolais Cookie,,,,,
Truffle Cake,Coffee Eclair,Blackberry Tart,Cherry Tart,Apricot Danish,Single Espresso,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Chocolate Cake,Casino Cake,Almond Tart,,,,,
Casino Cake,Marzipan Cookie,Apple Danish,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Apple Tart,Gongolais Cookie,Marzipan Cookie,Cherry Soda,,,,
Truffle Cake,Vanilla Eclair,Gongolais Cookie,Apple Croissant,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Strawberry Cake,Chocolate Meringue,Apricot Danish,Green Tea,,,,
Truffle Cake,Gongolais Cookie,Almond Croissant,Apple Danish,Bottled Water,,,
Lemon Cake,Casino Cake,Chocolate Eclair,Coffee Eclair,Gongolais Cookie,,,
Apricot Tart,Gongolais Cookie,Tuile Cookie,Apricot Danish,,,,
Opera Cake,Lemon Tart,Green Tea,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Lemon Tart,Marzipan Cookie,Tuile Cookie,,,,,
Hot Coffee,,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Tuile Cookie,Apricot Croissant,Apricot Danish,Almond Twist,,,,
Strawberry Cake,Lemon Tart,,,,,,
Chocolate Cake,Ganache Cookie,Chocolate Coffee,,,,,
Chocolate Cake,Casino Cake,Coffee Eclair,Cheese Croissant,Orange Juice,,,
Vanilla Eclair,Lemon Cookie,,,,,,
Marzipan Cookie,Tuile Cookie,Raspberry Lemonade,Orange Juice,,,,
Napoleon Cake,Hot Coffee,,,,,,
Casino Cake,Walnut Cookie,Lemon Lemonade,Green Tea,Cherry Soda,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Truffle Cake,Apricot Tart,Apricot Danish,Almond Twist,Green Tea,,,
Chocolate Meringue,,,,,,,
Cherry Tart,Lemon Cookie,Walnut Cookie,Almond Bear Claw,Hot Coffee,,,
Strawberry Cake,Truffle Cake,Chocolate Meringue,,,,,
Ganache Cookie,,,,,,,
Lemon Cake,Lemon Tart,,,,,,
Berry Tart,Bottled Water,,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Lemon Cake,Truffle Cake,Gongolais Cookie,,,,,
Chocolate Tart,Almond Bear Claw,,,,,,
Lemon Cake,Gongolais Cookie,,,,,,
Almond Tart,Vanilla Meringue,Marzipan Cookie,Lemon Lemonade,,,,
Coffee Eclair,Lemon Tart,Tuile Cookie,Apple Croissant,Almond Bear Claw,Blueberry Danish,,
Opera Cake,Cherry Tart,Chocolate Croissant,,,,,
Apple Tart,Berry Tart,,,,,,
Truffle Cake,Gongolais Cookie,Raspberry Cookie,Almond Twist,Raspberry Lemonade,,,
Chocolate Cake,Vanilla Eclair,Bottled Water,,,,,
Coffee Eclair,Lemon Tart,Hot Coffee,,,,,
Chocolate Eclair,Berry Tart,Gongolais Cookie,Lemon Cookie,,,,
Chocolate Cake,Blueberry Tart,Apple Danish,,,,,
Almond Croissant,Almond Bear Claw,Chocolate Coffee,,,,,
Apple Tart,Apple Croissant,Apple Danish,,,,,
Coffee Eclair,Napoleon Cake,Chocolate Meringue,Apple Danish,,,,
Strawberry Cake,Apple Tart,Chocolate Meringue,Apricot Croissant,,,,
Opera Cake,Cherry Tart,Pecan Tart,Raspberry Cookie,Vanilla Meringue,Cheese Croissant,Apricot Danish,
Coffee Eclair,Almond Tart,Tuile Cookie,Apricot Croissant,,,,
Lemon Cake,Strawberry Cake,Chocolate Eclair,Blueberry Tart,Chocolate Tart,Apple Danish,Almond Bear Claw,Hot Coffee
Strawberry Cake,Napoleon Cake,,,,,,
Lemon Cake,Lemon Tart,Ganache Cookie,Blueberry Danish,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,Cherry Soda,,,
Marzipan Cookie,Chocolate Coffee,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Truffle Cake,Almond Tart,Apple Pie,,,,,
Marzipan Cookie,Tuile Cookie,Cheese Croissant,Cherry Soda,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Blackberry Tart,Single Espresso,,,,,,
Pecan Tart,Raspberry Lemonade,,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Lemon Cake,Opera Cake,Lemon Tart,Ganache Cookie,,,,
Berry Tart,Cherry Tart,Lemon Tart,Apple Croissant,Blueberry Danish,,,
Coffee Eclair,Blackberry Tart,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Napoleon Cake,Apricot Croissant,Lemon Lemonade,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Truffle Cake,Napoleon Cake,Almond Bear Claw,Blueberry Danish,Lemon Lemonade,Green Tea,,
Strawberry Cake,Raspberry Cookie,,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Opera Cake,Truffle Cake,Coffee Eclair,Gongolais Cookie,Tuile Cookie,Hot Coffee,,
Strawberry Cake,Apricot Tart,Berry Tart,Marzipan Cookie,Tuile Cookie,Almond Bear Claw,,
Cherry Tart,Almond Twist,Single Espresso,,,,,
Apricot Danish,Lemon Lemonade,Hot Coffee,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Vanilla Eclair,Apricot Tart,Berry Tart,Blueberry Tart,Walnut Cookie,Apple Croissant,Bottled Water,
Tuile Cookie,Green Tea,,,,,,
Opera Cake,,,,,,,
Blueberry Tart,Marzipan Cookie,Tuile Cookie,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Almond Croissant,Lemon Lemonade,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Coffee Eclair,Blackberry Tart,,,,,,
Blueberry Tart,Apricot Croissant,Cheese Croissant,,,,,
Casino Cake,Truffle Cake,Coffee Eclair,Apple Pie,Apricot Danish,Raspberry Lemonade,,
Lemon Cookie,Walnut Cookie,Apple Danish,Almond Bear Claw,Single Espresso,,,
Apricot Tart,Marzipan Cookie,Tuile Cookie,Single Espresso,,,,
Lemon Cake,Lemon Tart,Tuile Cookie,Bottled Water,,,,
Truffle Cake,Napoleon Cake,Ganache Cookie,Vanilla Meringue,Almond Croissant,Chocolate Coffee,Vanilla Frappuccino,
Chocolate Tart,Raspberry Cookie,Hot Coffee,,,,,
Blueberry Tart,Cherry Tart,Blueberry Danish,Green Tea,,,,
Vanilla Eclair,Berry Tart,Vanilla Meringue,Walnut Cookie,,,,
Chocolate Cake,Lemon Cake,Truffle Cake,Vanilla Eclair,Gongolais Cookie,Raspberry Cookie,Bottled Water,
Casino Cake,Gongolais Cookie,Cheese Croissant,Almond Twist,,,,
Gongolais Cookie,Chocolate Meringue,Walnut Cookie,Apple Croissant,Apple Danish,,,
Chocolate Eclair,Marzipan Cookie,Tuile Cookie,,,,,
Lemon Cake,Lemon Tart,,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Apricot Tart,Cheese Croissant,Orange Juice,,,,,
Chocolate Tart,Walnut Cookie,Blueberry Danish,Vanilla Frappuccino,,,,
Vanilla Meringue,Orange Juice,,,,,,
Ganache Cookie,Vanilla Meringue,Almond Bear Claw,,,,,
Vanilla Eclair,,,,,,,
Opera Cake,Chocolate Eclair,Blueberry Tart,Cherry Tart,Chocolate Meringue,Apricot Danish,,
Apple Tart,Blueberry Tart,Apple Croissant,Apple Danish,Cherry Soda,,,
Napoleon Cake,,,,,,,
Coffee Eclair,Tuile Cookie,,,,,,
Apple Tart,,,,,,,
Berry Tart,Gongolais Cookie,Bottled Water,,,,,
Lemon Cookie,Walnut Cookie,Orange Juice,,,,,
Apple Croissant,Cheese Croissant,Cherry Soda,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Marzipan Cookie,Tuile Cookie,Almond Twist,,,,,
Chocolate Cake,Casino Cake,Coffee Eclair,Chocolate Coffee,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Berry Tart,Blueberry Tart,Lemon Tart,Apricot Croissant,Raspberry Lemonade,Hot Coffee,,
Almond Tart,Raspberry Cookie,Lemon Cookie,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Cheese Croissant,Chocolate Croissant,Cherry Soda,,,,,
Lemon Cake,Lemon Tart,Almond Croissant,,,,,
Strawberry Cake,Napoleon Cake,Lemon Tart,Orange Juice,Bottled Water,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Apple Tart,Apple Croissant,Apricot Croissant,Apple Danish,Cherry Soda,,,
Opera Cake,Berry Tart,Lemon Tart,Pecan Tart,Bottled Water,,,
Gongolais Cookie,Marzipan Cookie,Tuile Cookie,,,,,
Berry Tart,Bottled Water,Hot Coffee,,,,,
Apple Croissant,Blueberry Danish,Cherry Soda,,,,,
Opera Cake,Blackberry Tart,Chocolate Meringue,Vanilla Frappuccino,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Lemon Cake,Strawberry Cake,Napoleon Cake,Chocolate Coffee,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Berry Tart,Walnut Cookie,Bottled Water,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Apple Pie,Apricot Tart,Lemon Tart,Raspberry Cookie,Apricot Danish,Almond Bear Claw,Hot Coffee,
Casino Cake,Apricot Tart,Blackberry Tart,Almond Bear Claw,,,,
Lemon Tart,,,,,,,
Gongolais Cookie,Raspberry Cookie,Tuile Cookie,Hot Coffee,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Chocolate Meringue,Tuile Cookie,Almond Twist,Hot Coffee,Vanilla Frappuccino,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Chocolate Tart,Ganache Cookie,Blueberry Danish,,,,,
Opera Cake,Truffle Cake,Cherry Tart,Apricot Danish,,,,
Pecan Tart,Walnut Cookie,Green Tea,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Chocolate Cake,Casino Cake,Apple Croissant,Chocolate Coffee,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Chocolate Meringue,Tuile Cookie,Almond Croissant,Cheese Croissant,,,,
Lemon Cake,Raspberry Cookie,Blueberry Danish,Raspberry Lemonade,,,,
Opera Cake,Truffle Cake,Gongolais Cookie,Walnut Cookie,,,,
Lemon Cake,Strawberry Cake,Truffle Cake,Blackberry Tart,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Strawberry Cake,Chocolate Meringue,Walnut Cookie,,,,,
Chocolate Cake,Apricot Tart,Marzipan Cookie,Blueberry Danish,Bottled Water,,,
Lemon Cake,Truffle Cake,Gongolais Cookie,,,,,
Berry Tart,Bottled Water,,,,,,
Lemon Cake,Apple Tart,Lemon Tart,Almond Croissant,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Strawberry Cake,Napoleon Cake,Cheese Croissant,,,,,
Coffee Eclair,Blackberry Tart,Chocolate Tart,Blueberry Danish,Single Espresso,,,
Casino Cake,Vanilla Eclair,Tuile Cookie,Orange Juice,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Opera Cake,Truffle Cake,Cherry Tart,Chocolate Meringue,Marzipan Cookie,Apricot Danish,,
Lemon Cake,Apple Tart,Cherry Soda,,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Opera Cake,Strawberry Cake,Coffee Eclair,Napoleon Cake,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Casino Cake,Truffle Cake,Hot Coffee,Cherry Soda,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Apple Pie,Lemon Cookie,Apricot Danish,,,,,
Vanilla Eclair,Cheese Croissant,Orange Juice,,,,,
Strawberry Cake,Vanilla Eclair,Marzipan Cookie,Tuile Cookie,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Cherry Tart,Apple Croissant,Apricot Danish,Chocolate Coffee,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,,,,
Casino Cake,Strawberry Cake,Marzipan Cookie,Chocolate Croissant,Almond Twist,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Chocolate Cake,Chocolate Coffee,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Almond Bear Claw,Hot Coffee,,,
Lemon Cake,Lemon Lemonade,,,,,,
Opera Cake,Cherry Tart,Vanilla Meringue,Tuile Cookie,Apricot Danish,Raspberry Lemonade,Bottled Water,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Cheese Croissant,Orange Juice,,,,,,
Chocolate Cake,Opera Cake,Almond Tart,Apricot Tart,Vanilla Meringue,Tuile Cookie,,
Opera Cake,Coffee Eclair,Apple Pie,Pecan Tart,Cheese Croissant,Chocolate Croissant,Almond Twist,Hot Coffee
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Blackberry Tart,Chocolate Coffee,,,,,,
Vanilla Eclair,Napoleon Cake,Apricot Tart,Gongolais Cookie,Vanilla Meringue,,,
Truffle Cake,Gongolais Cookie,,,,,,
Lemon Cake,Casino Cake,Raspberry Cookie,,,,,
Lemon Cake,Cherry Tart,Cherry Soda,,,,,
Casino Cake,Coffee Eclair,Blackberry Tart,Raspberry Lemonade,Single Espresso,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Lemon Cake,Lemon Tart,Marzipan Cookie,Tuile Cookie,Orange Juice,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Opera Cake,Apricot Tart,Apple Danish,,,,,
Lemon Cake,Coffee Eclair,Almond Tart,Apple Danish,Chocolate Coffee,,,
Cheese Croissant,Apricot Danish,,,,,,
Truffle Cake,Napoleon Cake,,,,,,
Cherry Tart,Pecan Tart,,,,,,
Coffee Eclair,Cheese Croissant,Orange Juice,Bottled Water,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Blueberry Tart,Pecan Tart,Vanilla Meringue,,,,,
Chocolate Croissant,Hot Coffee,,,,,,
Chocolate Cake,Cheese Croissant,,,,,,
Lemon Cake,Strawberry Cake,Lemon Tart,Apple Danish,,,,
Apple Pie,Vanilla Meringue,Apricot Danish,Blueberry Danish,,,,
Casino Cake,Vanilla Eclair,Blueberry Tart,Blueberry Danish,,,,
Truffle Cake,Gongolais Cookie,,,,,,
Chocolate Cake,Apple Pie,Chocolate Coffee,,,,,
Truffle Cake,Coffee Eclair,Apple Pie,Cherry Tart,Chocolate Meringue,Almond Twist,,
Apple Croissant,Chocolate Croissant,Orange Juice,,,,,
Apple Tart,Marzipan Cookie,Tuile Cookie,Green Tea,,,,
Apricot Tart,Apricot Danish,Apple Danish,,,,,
Apricot Tart,Chocolate Croissant,,,,,,
Strawberry Cake,Napoleon Cake,Almond Tart,Apricot Tart,Blueberry Danish,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Chocolate Cake,Truffle Cake,Apricot Tart,Gongolais Cookie,Hot Coffee,,,
Lemon Cake,Chocolate Eclair,Raspberry Lemonade,Chocolate Coffee,,,,
Apple Croissant,Apple Danish,,,,,,
Napoleon Cake,Marzipan Cookie,Tuile Cookie,,,,,
Blackberry Tart,Chocolate Tart,Lemon Lemonade,Vanilla Frappuccino,Single Espresso,,,
Chocolate Cake,Blueberry Tart,Almond Bear Claw,Cherry Soda,,,,
Blueberry Tart,Apricot Croissant,,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Chocolate Cake,Casino Cake,Apricot Tart,Cheese Croissant,Chocolate Coffee,,,
Strawberry Cake,Napoleon Cake,Lemon Tart,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Blueberry Tart,Pecan Tart,Apricot Croissant,Hot Coffee,,,,
Napoleon Cake,Cheese Croissant,Orange Juice,,,,,
Apple Pie,Apple Tart,Chocolate Tart,Bottled Water,,,,
